question_id,question,answer,job_role,question_type
54,**Using the same data set:** What is the total number of students in Engineering and Medicine combined? (A) 250 (B) 280 (C) 320 (D) 300,(D),Data Scientist,Aptitude
55,"**Using the same data set:** If 10% of Science students switch to Arts, what will be the new number of students in Arts? (A) 336 (B) 340 (C) 300 (D) 400",(A),Data Scientist,Aptitude
56,The sum of ages of 5 children born at the intervals of 3 years each is 50 years. What is the age of the youngest child? (A) 2 years (B) 4 years (C) 6 years (D) 8 years,(B),Data Scientist,Aptitude
57,A vendor bought toffees at 6 for a rupee. How many for a rupee must he sell to gain 20%? (A) 3 (B) 4 (C) 5 (D) 6,(C),Data Scientist,Aptitude
58,What is the value of log10(1000)? (A) 3 (B) 2 (C) 4 (D) 10,(A),Data Scientist,Aptitude
59,A man's speed with the current is 15 km/hr and the speed of the current is 2.5 km/hr. The man's speed against the current is: (A) 12.5 km/hr (B) 10 km/hr (C) 8.5 km/hr (D) 9 km/hr,(B),Data Scientist,Aptitude
60,"A tank is filled by a tap in 4 hours while it is emptied by another tap in 9 hours. If both taps are opened simultaneously, in how much time will the tank be full? (A) 6.5 hours (B) 7 hours (C) 7.2 hours (D) 8 hours",(C),Data Scientist,Aptitude
61,Find the odd one out: (A) Tyre (B) Steering Wheel (C) Engine (D) Car,(D),Data Scientist,Aptitude
62,Kitten : Cat :: Cub : ? (A) Lion (B) Baby (C) Animal (D) Offspring,(A),Data Scientist,Aptitude
63,"If Z=26, NET=39, then NUT=? (A) 45 (B) 50 (C) 55 (D) 60",(B),Data Scientist,Aptitude
64,A man walks 5 km toward south and then turns to the right. After walking 3 km he turns to the left and walks 5 km. Now in which direction is he from the starting place? (A) West (B) South (C) North-East (D) South-West,(D),Data Scientist,Aptitude
65,Statements: Some actors are singers. All the singers are dancers. Conclusions: I. Some actors are dancers. II. No singer is an actor. (A) Only conclusion I follows (B) Only conclusion II follows (C) Either I or II follows (D) Neither I nor II follows,(A),Data Scientist,Aptitude
66,Choose the word which best expresses the meaning of 'CONCISE'. (A) Brief (B) Lengthy (C) Detailed (D) Wordy,(A),Data Scientist,Aptitude
67,Select the most appropriate antonym for 'VAGUE'. (A) Unclear (B) Indistinct (C) Clear (D) Fuzzy,(C),Data Scientist,Aptitude
68,To 'spill the beans' means: (A) To be clumsy (B) To reveal a secret (C) To waste food (D) To make a mess,(B),Data Scientist,Aptitude
69,Find the part of the sentence that has an error: 'The manager have confirmed (A) / the order for (B) / the new equipment (C). / No error (D)' (A) A (B) B (C) C (D) D,(A),Data Scientist,Aptitude
70,Fill in the blank: He is known for his _______; he never gives up. (A) laziness (B) cowardice (C) weakness (D) persistence,(D),Data Scientist,Aptitude
71,Calculate: (5 + 3) * 2 - 10 / 5 (A) 10 (B) 12 (C) 14 (D) 16,(C),Data Scientist,Aptitude
72,What is 2/3 of 90? (A) 60 (B) 30 (C) 45 (D) 50,(A),Data Scientist,Aptitude
73,"If a car travels 240 km on 12 litres of petrol, how many kilometres will it travel on 20 litres? (A) 360 km (B) 400 km (C) 420 km (D) 480 km",(B),Data Scientist,Aptitude
74,"A meeting has 9 members. If the chairperson leaves, 8 members remain. What fraction of the members remain? (A) 1/9 (B) 1/8 (C) 9/8 (D) 8/9",(D),Data Scientist,Aptitude
75,Convert 0.85 into a fraction in its simplest form. (A) 85/100 (B) 17/20 (C) 17/10 (D) 8.5/10,(B),Data Scientist,Aptitude
76,"Six bells commence tolling together and toll at intervals of 2, 4, 6, 8, 10 and 12 seconds respectively. In 30 minutes, how many times do they toll together? (A) 16 (B) 15 (C) 10 (D) 20",(A),Data Scientist,Aptitude
77,What is the area of a circle with a radius of 7 cm? (Use π = 22/7) (A) 144 sq. cm (B) 150 sq. cm (C) 154 sq. cm (D) 160 sq. cm,(C),Data Scientist,Aptitude
78,A right-angled triangle has a base of 3 cm and a height of 4 cm. What is the length of the hypotenuse? (A) 4 cm (B) 5 cm (C) 6 cm (D) 7 cm,(B),Data Scientist,Aptitude
79,A mixture of 40 litres of milk and water contains 10% water. How much water must be added to make the water 20% in the new mixture? (A) 5 litres (B) 6 litres (C) 8 litres (D) 10 litres,(A),Data Scientist,Aptitude
80,At what rate percent per annum will a sum of money double in 8 years? (A) 10% (B) 12% (C) 11.5% (D) 12.5%,(D),Data Scientist,Aptitude
81,"Find the next term in the alphabet series: B, E, H, K, N, ? (A) P (B) Q (C) R (D) S",(B),Data Scientist,Aptitude
82,'Book' is to 'Reading' as 'Fork' is to: (A) Writing (B) Drawing (C) Eating (D) Cutting,(C),Data Scientist,Aptitude
83,"A man is 24 years older than his son. In two years, his age will be twice the age of his son. The present age of his son is: (A) 22 years (B) 20 years (C) 18 years (D) 24 years",(A),Data Scientist,Aptitude
84,Which word does NOT belong with the others? (A) Guitar (B) Flute (C) Violin (D) Cello,(B),Data Scientist,Aptitude
85,Statements: All pens are pencils. No pencil is a marker. Conclusions: I. No pen is a marker. II. Some pens are markers. (A) Only conclusion I follows (B) Only conclusion II follows (C) Either I or II follows (D) Neither I nor II follows,(A),Data Scientist,Aptitude
86,Choose the alternative which best expresses the meaning of 'JUBILANT'. (A) Melancholy (B) Ecstatic (C) Sorrowful (D) Gloomy,(B),Data Scientist,Aptitude
87,Find the correctly spelt word. (A) Entreprenuer (B) Entrapreneur (C) Entrepreneur (D) Entreprenur,(C),Data Scientist,Aptitude
88,Fill in the blank: The new policy will come into ______ from next month. (A) effect (B) affect (C) affects (D) effects,(A),Data Scientist,Aptitude
89,The phrase 'a piece of cake' means: (A) A difficult task (B) A delicious food (C) A share of profit (D) Something very easy,(D),Data Scientist,Aptitude
90,Correct the sentence: 'He did not wrote the letter.' (A) He does not wrote the letter. (B) He did not write the letter. (C) He had not wrote the letter. (D) He have not written the letter.,(B),Data Scientist,Aptitude
91,"If the diagonal of a square is 10 cm, what is its area? (A) 100 sq. cm (B) 40 sq. cm (C) 50 sq. cm (D) 20 sq. cm",(C),Data Scientist,Aptitude
92,Simplify: 10 + [20 - (5 * 2)] (A) 20 (B) 15 (C) 25 (D) 30,(A),Data Scientist,Aptitude
93,"If 3 apples cost $2.40, what is the cost of 7 apples? (A) $4.80 (B) $5.00 (C) $5.20 (D) $5.60",(D),Data Scientist,Aptitude
94,A cube has a volume of 64 cubic cm. What is the length of one side? (A) 8 cm (B) 4 cm (C) 6 cm (D) 16 cm,(B),Data Scientist,Aptitude
95,"Five people (A, B, C, D, E) are sitting in a row. A is to the right of B. E is to the left of C and to the right of A. B is to the right of D. Who is sitting in the middle? (A) A (B) B (C) C (D) D",(A),Data Scientist,Aptitude
96,"In a class of 60, where girls are twice that of boys, Kamal ranked seventeenth from the top. If there are 9 girls ahead of Kamal, how many boys are after him in rank? (A) 20 (B) 8 (C) 12 (D) 15",(C),Data Scientist,Aptitude
97,What was the day of the week on 15th August 1947? (A) Friday (B) Saturday (C) Sunday (D) Thursday,(A),Data Scientist,Aptitude
98,"If 'CAT' is coded as 24, and 'DOG' is coded as 26, how is 'TIGER' coded? (A) 55 (B) 59 (C) 60 (D) 45",(B),Data Scientist,Aptitude
99,A is the brother of B. B is the sister of C. C is the husband of D. How is A related to D? (A) Brother (B) Son (C) Brother-in-law (D) Father,(C),Data Scientist,Aptitude
100,A batsman scored 110 runs which included 3 boundaries and 8 sixes. What percent of his total score did he make by running between the wickets? (A) 50% (B) 45 5/11 % (C) 54 6/11 % (D) 45%,(B),Data Scientist,Aptitude
101,"What is the next number in the series: 1, 9, 25, 49, ?, 121? (A) 64 (B) 81 (C) 100 (D) 91",(B),Data Scientist,Aptitude
102,Odometer is to mileage as compass is to: (A) speed (B) hiking (C) needle (D) direction,(D),Data Scientist,Aptitude
103,A shopkeeper sells a watch for $575 and makes a profit of 15%. What is the cost price of the watch? (A) $450 (B) $500 (C) $525 (D) $600,(B),Data Scientist,Aptitude
104,"Find the compound interest on $7500 at 4% per annum for 2 years, compounded annually. (A) $612 (B) $624 (C) $600 (D) $618",(A),Data Scientist,Aptitude
105,A card is drawn from a pack of 52 cards. What is the probability of getting a King of a red color? (A) 1/13 (B) 1/26 (C) 1/52 (D) 1/4,(B),Data Scientist,Aptitude
106,"If 'MIND' is coded as 'KGLB' and 'ARGUE' as 'YPESC', how will 'DIAGRAM' be coded? (A) BGYEPYK (B) BGYPYEK (C) GLPEYKB (D) BGYEYPK",(A),Data Scientist,Aptitude
107,Statements: All windows are doors. No door is a wall. Conclusions: I. No window is a wall. II. Some walls are doors. (A) Only I follows (B) Only II follows (C) Both follow (D) Neither follows,(A),Data Scientist,Aptitude
108,"A man walks 1 km to the East and then he turns to the South and walks 5 km. Again he turns to the East and walks 2 km. After this, he turns to the North and walks 9 km. How far is he from his starting point? (A) 3 km (B) 4 km (C) 5 km (D) 7 km",(C),Data Scientist,Aptitude
109,Choose the word that is the best synonym for DEFER. (A) Postpone (B) Accept (C) Disagree (D) Differentiate,(A),Data Scientist,Aptitude
110,Choose the word that is the antonym of EXPLICIT. (A) Clear (B) Ambiguous (C) Precise (D) Direct,(B),Data Scientist,Aptitude
111,The committee arrived at a _______ decision. (A) unanimous (B) separated (C) different (D) divided,(A),Data Scientist,Aptitude
112,What is the value of: 100 - 3 * [20 + {50 - 40}]? (A) 10 (B) 20 (C) 100 (D) 0,(A),Data Scientist,Aptitude
113,"Which is the largest fraction among the following? 4/5, 7/8, 6/7, 5/6 (A) 4/5 (B) 7/8 (C) 6/7 (D) 5/6",(B),Data Scientist,Aptitude
114,"At a party, everyone shook hands with everybody else. If there were 66 handshakes, how many people were at the party? (A) 11 (B) 12 (C) 13 (D) 14",(B),Data Scientist,Aptitude
115,"The sum of the present ages of a father and his son is 60 years. Six years ago, the father's age was five times the age of the son. What will be the son's age after 6 years? (A) 14 years (B) 20 years (C) 22 years (D) 18 years",(B),Data Scientist,Aptitude
116,"**Data Set:** Table shows laptops manufactured (in thousands) by 5 companies. | Company | 2023 | 2024 | |---|---|---| | HP | 30 | 45 | | Dell | 50 | 40 | | Apple | 20 | 35 | | Lenovo | 40 | 50 | | Acer | 25 | 30 | --- What was the total number of laptops manufactured by all companies in 2023? (A) 165,000 (B) 175,000 (C) 180,000 (D) 200,000",(A),Data Scientist,Aptitude
117,**Using the same data set:** Which company showed the highest percentage increase in manufacturing from 2023 to 2024? (A) HP (B) Dell (C) Apple (D) Lenovo,(C),Data Scientist,Aptitude
118,**Using the same data set:** What is the ratio of laptops manufactured by Dell in 2023 to those manufactured by Lenovo in 2024? (A) 1:1 (B) 4:5 (C) 5:4 (D) 2:1,(A),Data Scientist,Aptitude
119,**Using the same data set:** The number of laptops manufactured by Acer in 2024 is what percentage of the number of laptops manufactured by HP in 2023? (A) 50% (B) 75% (C) 100% (D) 120%,(C),Data Scientist,Aptitude
120,"**Using the same data set:** What is the average number of laptops manufactured in 2024 per company? (A) 38,000 (B) 40,000 (C) 42,000 (D) 45,000",(B),Data Scientist,Aptitude
121,What is the unit digit in the product (3^65 * 6^59 * 7^71)? (A) 1 (B) 2 (C) 4 (D) 6,(C),Data Scientist,Aptitude
122,"The average of 11 results is 60. If the average of the first six results is 58 and that of the last six is 63, what is the sixth result? (A) 60 (B) 66 (C) 65 (D) 55",(B),Data Scientist,Aptitude
123,Two trains of equal length are running on parallel lines in the same direction at 46 km/h and 36 km/h. The faster train passes the slower train in 36 seconds. The length of each train is: (A) 50 m (B) 72 m (C) 80 m (D) 82 m,(A),Data Scientist,Aptitude
124,In what ratio must a grocer mix two varieties of tea worth $60 a kg and $65 a kg so that by selling the mixture at $68.20 a kg he may gain 10%? (A) 3:2 (B) 3:4 (C) 3:5 (D) 4:5,(A),Data Scientist,Aptitude
125,"The perimeter of a rectangle is 40 cm. If its length is 12 cm, what is its breadth? (A) 8 cm (B) 10 cm (C) 14 cm (D) 28 cm",(A),Data Scientist,Aptitude
126,Find the odd one out: (A) Inch (B) Centimeter (C) Yard (D) Ounce,(D),Data Scientist,Aptitude
127,"If the first day of the year (not a leap year) was Friday, then what was the last day of that year? (A) Saturday (B) Friday (C) Sunday (D) Thursday",(B),Data Scientist,Aptitude
128,"Find the next term in the series: AZ, BY, CX, ? (A) DW (B) DU (C) EV (D) DV",(A),Data Scientist,Aptitude
129,"In a row of boys, if A who is 10th from the left and B who is 9th from the right interchange their positions, A becomes 15th from the left. How many boys are there in the row? (A) 23 (B) 31 (C) 27 (D) 28",(A),Data Scientist,Aptitude
130,Doctor : Hospital :: Lawyer : ? (A) School (B) Court (C) Office (D) Building,(B),Data Scientist,Aptitude
131,What is the meaning of the idiom 'to be in the red'? (A) To be very angry (B) To be in debt (C) To be famous (D) To be in danger,(B),Data Scientist,Aptitude
132,The students were _______ for their excellent performance. (A) praised (B) praysed (C) prized (D) prased,(A),Data Scientist,Aptitude
133,Find the correctly spelt word. (A) Acomodation (B) Accomodation (C) Accommodation (D) Acommodation,(C),Data Scientist,Aptitude
134,What is 75% as a decimal? (A) 7.5 (B) 0.75 (C) 0.075 (D) 75.0,(B),Data Scientist,Aptitude
135,"If 5 men can build a wall in 12 days, how many days will it take 3 men to build the same wall? (A) 15 days (B) 18 days (C) 20 days (D) 7.2 days",(C),Data Scientist,Aptitude
136,"What is the next letter in the sequence: O, T, T, F, F, S, S, ? (A) E (B) N (C) T (D) O",(A),Data Scientist,Aptitude
137,"A father is three times as old as his son. After fifteen years, he will be twice as old as his son. What is the father's current age? (A) 30 (B) 36 (C) 42 (D) 45",(D),Data Scientist,Aptitude
138,"If January 1st, 2024 was a Monday, what day of the week is January 1st, 2025? (A) Monday (B) Tuesday (C) Wednesday (D) Sunday",(C),Data Scientist,Aptitude
139,"In a race of 100m, A beats B by 10m and C by 13m. In a race of 180m, B will beat C by: (A) 5.4 m (B) 4.5 m (C) 5 m (D) 6 m",(D),Data Scientist,Aptitude
140,What is the value of 25 * 3.25 + 50.4 / 24? (A) 83.35 (B) 83.53 (C) 82.35 (D) 82.53,(A),Data Scientist,Aptitude
141,A train 100 m long is running at the speed of 30 km/hr. Find the time taken by it to pass a man standing near the railway line. (A) 10 seconds (B) 12 seconds (C) 14 seconds (D) 15 seconds,(B),Data Scientist,Aptitude
142,"If 30% of A is added to 40% of B, the answer is 80% of B. What percentage of A is B? (A) 30% (B) 40% (C) 70% (D) 75%",(D),Data Scientist,Aptitude
143,"A fruit seller had some apples. He sells 40% apples and still has 420 apples. Originally, he had: (A) 588 apples (B) 600 apples (C) 672 apples (D) 700 apples",(D),Data Scientist,Aptitude
144,"Pointing to a woman, a man says, 'She is the daughter of the only child of my grandmother.' How is the woman related to the man? (A) Sister (B) Aunt (C) Mother (D) Cousin",(A),Data Scientist,Aptitude
145,"If 'RAJU' is coded as 11-12-13-14 and 'JUNK' is 13-14-15-16, then how will you code 'RANK'? (A) 11-12-15-16 (B) 10-11-12-13 (C) 11-1-14-11 (D) 12-13-14-15",(A),Data Scientist,Aptitude
146,Choose the pair that has the same relationship as: Architect : Building (A) Sculptor : Statue (B) Doctor : Hospital (C) Teacher : School (D) Lawyer : Court,(A),Data Scientist,Aptitude
147,He has been working on this project ___ two years. (A) since (B) for (C) from (D) by,(B),Data Scientist,Aptitude
148,Solve: (2.5 + 1.5) * (3.5 - 1.5) = ? (A) 4 (B) 6 (C) 8 (D) 10,(C),Data Scientist,Aptitude
149,Three unbiased coins are tossed. What is the probability of getting at most two heads? (A) 3/4 (B) 1/4 (C) 3/8 (D) 7/8,(D),Data Scientist,Aptitude
150,A clock shows the time as 3:30. What is the angle between the hour and minute hands? (A) 75 degrees (B) 85 degrees (C) 90 degrees (D) 105 degrees,(A),Data Scientist,Aptitude
151,"**Data Set:** A bar chart shows car production (in thousands) by Company X. 2020: 50; 2021: 75; 2022: 60; 2023: 90; 2024: 80. --- What was the average production over the five years? (A) 70,000 (B) 71,000 (C) 72,000 (D) 75,000",(B),Data Scientist,Aptitude
152,**Using the same data set:** What was the percentage decrease in production from 2021 to 2022? (A) 15% (B) 20% (C) 25% (D) 30%,(B),Data Scientist,Aptitude
153,**Using the same data set:** The production in 2024 was what percentage of the production in 2020? (A) 120% (B) 140% (C) 150% (D) 160%,(D),Data Scientist,Aptitude
154,**Using the same data set:** In how many years was the production above the average production for the period? (A) 1 (B) 2 (C) 3 (D) 4,(C),Data Scientist,Aptitude
155,**Using the same data set:** What is the ratio of the total production in the first two years to the total production in the last two years? (A) 125:170 (B) 25:34 (C) 20:29 (D) 25:31,(B),Data Scientist,Aptitude
156,"A, B, and C start a business each investing $20,000. After 5 months A withdraws $5000, B withdraws $4000 and C invests $6000 more. At the end of the year, a total profit of $69,900 was recorded. What is the share of B? (A) $20,500 (B) $21,200 (C) $28,200 (D) $27,300",(B),Data Scientist,Aptitude
157,"Two pipes A and B can fill a tank in 20 and 30 minutes respectively. If both the pipes are used together, then how long will it take to fill the tank? (A) 12 min (B) 15 min (C) 25 min (D) 50 min",(A),Data Scientist,Aptitude
158,"If A's salary is 25% higher than B's salary, then by what percent is B's salary lower than A's? (A) 15% (B) 20% (C) 25% (D) 33.33%",(B),Data Scientist,Aptitude
159,"A and B together can do a job in 8 days. B and C together can do it in 12 days. A and C together can do it in 8 days. In how many days can A, B, and C together do the job? (A) 4 days (B) 6 days (C) 7 days (D) 9 days",(B),Data Scientist,Aptitude
160,The surface area of a cube is 150 sq. cm. What is its volume? (A) 100 cm³ (B) 125 cm³ (C) 216 cm³ (D) 225 cm³,(B),Data Scientist,Aptitude
161,"Find the next number in the series: 4, 10, ?, 82, 244, 730. (A) 24 (B) 28 (C) 30 (D) 77",(B),Data Scientist,Aptitude
162,Flow : River :: Stagnant : ? (A) Rain (B) Stream (C) Pool (D) Canal,(C),Data Scientist,Aptitude
163,"Introducing a boy, a girl said, 'He is the son of the daughter of the father of my uncle.' How is the boy related to the girl? (A) Brother (B) Nephew (C) Uncle (D) Son-in-law",(A),Data Scientist,Aptitude
164,Statements: Some doctors are fools. Some fools are rich. Conclusions: I. Some doctors are rich. II. Some rich are doctors. (A) Only I follows (B) Only II follows (C) Both follow (D) Neither I nor II follows,(D),Data Scientist,Aptitude
165,Choose the word which is different from the rest. (A) Kiwi (B) Eagle (C) Emu (D) Ostrich,(B),Data Scientist,Aptitude
166,Choose the best synonym for ABANDON. (A) Keep (B) Cherish (C) Forsake (D) Retain,(C),Data Scientist,Aptitude
167,Choose the best antonym for DENSE. (A) Thick (B) Crowded (C) Sparse (D) Opaque,(C),Data Scientist,Aptitude
168,Find the error in the sentence: 'He is one of the tallest boy (A) / in the class (B) / and is very smart (C). / No error (D)',(A),Data Scientist,Aptitude
169,What is the meaning of the idiom 'To hit the nail on the head'? (A) To make the right decision at the right time (B) To do something exactly right (C) To handle a difficult situation (D) To cause damage to something,(B),Data Scientist,Aptitude
170,The speech was not only long but _______ boring. (A) so (B) as well (C) also (D) and,(C),Data Scientist,Aptitude
171,Solve: 1/2 + 3/4 - 1/8 = ? (A) 9/8 (B) 1 (C) 7/8 (D) 11/8,(D),Data Scientist,Aptitude
